SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents
0,37,0,0.575943,0,0,3923.0,1.0
0,69,0,1.091272,0,0,1500.0,0.0
1,35,0,0.304462,0,0,2666.0,2.0
0,34,0,0.008734,1,0,2747.0,4.0
1,44,4,0.388193,1,1,13500.0,2.0
0,36,1,0.438104,0,0,10250.0,2.0
1,58,0,0.744167,0,0,5014.0,0.0
1,44,0,2591.0,0,1,5166.0,0.0
0,52,0,0.072386,0,0,5000.0,3.0
0,79,0,0.005852,0,0,3075.0,0.0
0,71,0,0.101469,0,0,5853.0,0.0
0,47,0,0.786434,0,0,6250.0,0.0
0,39,0,0.7515,0,0,3500.0,3.0
0,40,3,0.5247069999999999,0,0,5200.0,1.0
1,60,2,521.0,0,0,5166.0,0.0
0,45,0,0.17088299999999998,0,0,10000.0,1.0
0,70,0,0.054449000000000004,0,0,1505.0,0.0
1,54,0,0.527795,0,0,1600.0,1.0
0,49,0,0.465804,0,0,5950.0,2.0
0,48,1,0.344596,0,0,4024.0,1.0
0,52,0,0.006642,0,0,121200.0,0.0
1,47,2,0.45364099999999996,1,4,7333.0,0.0
1,25,0,0.10109299999999999,0,0,1463.0,1.0
0,38,1,0.435871,0,0,7632.0,2.0
1,53,0,2829.0,0,0,5166.0,0.0
0,36,0,0.05322,0,0,9300.0,4.0
0,62,1,0.375348,1,2,6100.0,0.0
1,28,0,0.0,0,0,2925.0,0.0
0,44,1,0.555111,0,1,4000.0,0.0
0,63,0,183.0,0,0,5166.0,0.0
0,36,0,0.496638,1,4,3420.0,2.0
0,53,0,0.192629,0,0,14000.0,1.0
1,42,0,5152.0,0,0,5166.0,0.0
0,49,1,0.383238,0,0,5750.0,0.0
0,63,2,0.191649,0,0,6250.0,1.0
0,66,0,0.08833300000000001,0,0,4833.0,0.0
0,60,0,2102.0,0,0,5166.0,0.0
0,54,0,0.5624100000000001,0,1,7666.0,0.0
0,43,0,0.257282,0,0,6968.0,0.0
1,33,0,0.28641700000000003,1,0,5079.0,0.0
0,46,0,0.188362,0,0,3333.0,0.0
1,31,0,0.0,2,0,1600.0,0.0
0,64,0,7335.0,0,0,5166.0,0.0
0,84,0,0.266361,0,0,4583.0,0.0
1,43,4,0.5539649999999999,3,0,4400.0,2.0
0,68,1,0.543491,0,0,5000.0,0.0
1,36,0,0.0,2,0,5166.0,0.0
1,28,1,541.0,0,2,5166.0,0.0
1,29,0,0.21977199999999997,0,1,2720.0,2.0
0,64,0,1715.0,0,0,5166.0,0.0
0,27,0,0.149328,0,0,3200.0,0.0
0,68,0,123.0,0,0,5166.0,0.0
1,50,98,0.0,98,98,1350.0,0.0
0,63,0,0.44576400000000005,0,0,1852.0,0.0
0,74,0,0.478595,0,0,7147.0,0.0
0,42,0,0.423238,0,0,7900.0,1.0
0,49,0,0.25068,0,0,6250.0,0.0
0,21,98,0.0,98,98,5166.0,0.0
1,24,0,0.048207,0,0,1700.0,0.0
1,44,0,0.790549,0,0,4549.0,1.0
1,49,2,0.305137,1,1,7163.0,3.0
1,48,5,0.15828599999999998,0,1,6999.0,3.0
0,69,0,0.010181,0,0,11000.0,1.0
0,32,0,0.10189,0,0,10000.0,0.0
0,44,1,0.149424,0,0,7200.0,3.0
0,38,1,0.243279,0,0,4500.0,3.0
1,27,0,0.0,0,0,2400.0,1.0
0,66,0,911.0,0,0,5166.0,0.0
0,69,0,0.024197999999999997,0,0,1900.0,0.0
0,75,0,659.0,0,0,5166.0,0.0
0,61,0,0.440384,0,0,4377.0,0.0
0,55,1,0.5091760000000001,0,0,2560.0,0.0
0,49,1,0.0023989999999999997,0,0,2500.0,0.0
0,25,0,0.123251,0,0,1500.0,0.0
1,34,4,2684.0,0,0,5166.0,0.0
0,53,0,0.360451,0,0,4166.0,0.0
0,26,98,0.0,98,98,2000.0,0.0
0,77,0,0.0018239999999999999,0,0,10416.0,0.0
1,66,0,4562.0,0,0,5166.0,0.0
0,33,0,0.308527,0,0,7000.0,1.0
1,60,1,0.23838099999999998,0,0,12500.0,0.0
0,34,0,0.000225,0,0,8888.0,1.0
1,49,1,0.47360699999999994,0,1,6800.0,2.0
0,41,0,306.5,0,0,1.0,4.0
0,55,0,0.563525,0,0,7374.0,1.0
0,61,0,0.35036999999999996,0,0,23400.0,1.0
0,82,0,0.376161,0,0,3120.0,0.0
1,26,1,0.35441100000000003,1,5,4000.0,0.0
1,57,1,2222.0,1,0,5166.0,0.0
0,54,0,0.182733,0,0,7250.0,1.0
0,87,0,0.52861,0,0,1100.0,0.0
0,27,0,0.291491,0,0,4500.0,1.0
0,56,0,0.224964,0,0,6200.0,1.0
0,50,1,0.316222,0,0,8999.0,2.0
0,36,0,0.006663,0,0,1800.0,1.0
0,31,1,0.106322,0,0,15800.0,1.0
0,54,0,0.839161,0,0,1000.0,0.0
1,66,0,0.001196,0,1,9200.0,0.0
0,62,1,0.550064,0,0,7000.0,0.0
1,39,4,453.0,4,0,5166.0,0.0
0,34,0,3.3910730000000004,0,0,1500.0,0.0
1,55,1,2776.0,0,0,5166.0,0.0
0,32,0,0.95314,0,0,3200.0,1.0
0,48,2,514.0,0,0,5166.0,1.0
0,57,0,0.14397000000000001,0,0,11036.0,0.0
0,34,0,0.127145,0,0,6000.0,3.0
0,60,1,0.469081,1,1,4915.0,1.0
0,23,0,2.0,0,0,5166.0,0.0
0,29,1,0.221656,0,0,3333.0,0.0
0,70,0,1470.0,0,0,1.0,1.0
0,50,1,0.357898,0,0,3785.0,1.0
1,42,1,0.7162689999999999,7,0,1800.0,0.0
0,35,0,0.30997199999999997,0,0,11000.0,1.0
1,47,2,0.13566,4,0,5100.0,2.0
0,53,0,0.661533,0,0,2726.0,3.0
1,50,6,0.772234,3,2,10962.0,4.0
0,29,0,0.171254,0,0,4250.0,0.0
1,54,0,0.012332,0,1,2756.0,0.0
1,35,1,1.5337129999999999,0,0,2105.0,2.0
0,43,0,0.102297,0,0,4134.0,4.0
0,66,0,2180.0,0,0,5166.0,0.0
1,71,0,0.785251,0,0,7701.0,1.0
0,58,0,0.485874,0,0,8600.0,0.0
0,41,0,2006.0,0,0,5166.0,0.0
0,54,0,0.044866,0,0,45000.0,0.0
1,33,1,0.24221700000000002,1,0,3500.0,0.0
0,42,0,0.065848,0,0,7000.0,0.0
0,35,0,0.160199,0,0,3813.0,3.0
0,63,0,0.063249,0,0,5343.0,0.0
1,60,0,0.275266,3,0,2255.0,0.0
0,51,0,0.363818,0,0,2000.0,0.0
1,36,2,0.277455,3,1,3960.0,2.0
0,55,0,0.32606999999999997,0,0,3900.0,0.0
1,27,0,0.153156,0,0,3120.0,0.0
0,71,0,0.213993,0,0,5116.0,0.0
1,43,2,0.634815,0,0,5870.0,4.0
0,63,0,0.290697,0,0,12500.0,0.0
1,45,4,1.9292080000000003,1,1,2019.0,0.0
0,40,0,510.0,0,0,5166.0,0.0
1,49,1,0.594605,1,0,5300.0,3.0
0,38,0,0.274496,0,0,5500.0,0.0
0,41,0,0.024673,0,0,2066.0,0.0
1,57,0,0.971566,0,0,5415.0,0.0
0,60,0,655.0,0,0,5166.0,0.0
0,63,0,0.8320559999999999,0,0,3000.0,0.0
0,42,0,77.0,0,0,5166.0,0.0
0,75,0,20.0,0,0,5166.0,0.0
0,42,0,0.777623,0,0,5040.0,2.0
0,34,1,0.40294,1,1,4625.0,0.0
0,55,1,0.33928200000000003,0,0,13000.0,2.0
1,49,4,0.386367,0,0,7862.0,2.0
0,76,0,0.013994,0,0,2500.0,0.0
1,40,0,0.30966,0,0,45000.0,1.0
0,56,1,0.054732,0,0,8166.0,0.0
0,76,0,0.439122,0,0,500.0,0.0
1,38,0,0.0,0,0,1000.0,1.0
0,68,1,0.28989299999999996,0,0,7350.0,0.0
0,62,0,0.35081,0,0,7838.0,0.0
0,53,0,0.71991,0,0,5333.0,1.0
0,42,0,0.7976260000000001,0,0,1600.0,0.0
0,53,0,4177.0,0,0,5166.0,0.0
0,57,0,0.157574,0,0,4600.0,1.0
0,27,0,12.5,0,0,7.0,0.0
0,33,0,0.063587,0,0,5000.0,0.0
0,57,0,0.59336,0,0,2800.0,0.0
1,61,2,0.354113,3,0,6175.0,0.0
0,59,0,0.903209,1,0,1900.0,0.0
0,51,0,0.9293950000000001,0,0,4333.0,2.0
1,33,0,0.237012,0,0,4176.0,0.0
1,42,2,0.603777,0,0,5400.0,2.0
0,46,0,0.330977,0,0,9900.0,2.0
1,60,1,2.646128,1,2,1200.0,2.0
0,32,0,0.10466099999999999,0,0,4633.0,1.0
0,47,2,0.728263,0,0,4772.0,2.0
1,37,0,0.21562699999999999,0,0,22000.0,2.0
0,69,0,0.148885,0,0,10000.0,0.0
1,40,1,0.31095,0,0,4958.0,1.0
0,39,0,6003.0,0,0,5166.0,0.0
1,51,2,1.0685149999999999,0,1,3750.0,0.0
1,38,0,0.975806,0,0,2975.0,0.0
1,43,0,0.969556,0,0,4072.0,0.0
1,26,0,1.92392,0,0,1550.0,0.0
0,32,0,0.229787,0,0,2584.0,4.0
0,64,0,0.207159,0,0,5000.0,0.0
0,64,0,0.307615,0,0,6000.0,3.0
1,43,0,0.417264,0,0,6000.0,0.0
1,55,1,0.563908,0,0,3950.0,0.0
1,60,0,0.41773299999999997,0,0,8830.0,0.0
0,47,0,3221.0,0,0,5166.0,0.0
0,38,0,0.18624100000000002,0,0,6700.0,0.0
1,38,1,0.023324,0,0,2400.0,2.0
1,63,1,4206.0,0,1,5166.0,0.0
0,32,0,0.600966,2,1,6006.0,1.0
0,29,0,0.164292,0,0,3438.0,1.0
1,35,2,0.793259,1,2,2877.0,0.0
0,46,0,0.27832199999999996,0,0,9700.0,1.0
1,28,2,0.270332,1,0,2200.0,0.0
0,78,0,2.0,0,0,5166.0,0.0
0,76,0,3548.0,0,0,5166.0,0.0
0,66,0,64.0,0,0,5166.0,0.0
0,51,1,0.496417,0,0,6000.0,3.0
1,45,0,0.138312,0,0,8046.0,2.0
0,54,0,0.40989200000000003,0,0,3800.0,2.0
0,72,0,0.387594,0,0,2401.0,0.0
0,53,1,3381.0,0,0,5166.0,0.0
0,74,0,0.20818499999999998,0,0,5326.0,1.0
1,35,1,0.426429,0,0,6666.0,2.0
1,23,98,0.0,98,98,5166.0,0.0
0,53,1,0.879524,0,0,4365.0,2.0
0,33,0,0.345219,0,0,6954.0,2.0
1,60,1,0.104137,1,0,4253.0,0.0
1,54,0,0.402727,0,0,4620.0,2.0
0,52,0,0.39625900000000003,0,1,5720.0,0.0
0,57,0,0.12308399999999999,0,0,13632.0,0.0
0,73,0,536.0,0,0,0.0,1.0
0,57,0,2543.0,0,0,5166.0,1.0
0,27,0,0.078051,0,0,4432.0,0.0
1,33,0,0.26994,0,0,4500.0,3.0
1,32,6,0.9190809999999999,0,1,1000.0,0.0
0,76,0,0.009198,0,0,5435.0,0.0
0,59,0,0.17920999999999998,0,0,5088.0,0.0
0,54,0,0.783522,0,0,5473.0,3.0
0,27,0,0.052392999999999995,0,0,7500.0,0.0
1,25,1,0.270758,0,2,3600.0,1.0
0,54,0,0.243839,0,0,9616.0,1.0
1,42,1,0.083564,1,0,3254.0,4.0
1,44,1,0.356858,0,0,750.0,0.0
0,44,0,0.8374540000000001,0,0,4933.0,0.0
0,26,0,0.132747,0,0,2500.0,0.0
1,41,0,0.233278,3,1,4200.0,2.0
0,59,0,0.505888,0,0,4500.0,1.0
1,53,0,1513.0,0,0,5166.0,1.0
0,40,0,973.0,0,0,5166.0,2.0
1,44,0,0.350548,0,0,3833.0,0.0
1,30,0,0.15367,2,1,3500.0,0.0
0,30,0,0.25304499999999996,0,0,5417.0,2.0
1,31,1,0.275977,0,2,3300.0,2.0
1,59,2,0.000769,1,0,2600.0,0.0
1,50,0,990.0,1,1,5166.0,0.0
1,61,3,0.656664,0,2,4831.0,0.0
0,47,0,0.689211,0,0,3104.0,0.0
0,76,0,0.00312,0,0,4166.0,0.0
1,38,0,0.284777,1,0,7166.0,0.0
0,51,0,0.258196,0,0,7350.0,2.0
1,49,0,0.6499020000000001,0,0,21533.0,0.0
0,28,0,0.121581,0,0,6250.0,0.0
0,39,0,0.26534,0,0,5377.0,1.0
1,59,0,0.400037,0,0,5416.0,0.0
0,58,0,1559.0,0,0,5166.0,0.0
1,31,3,0.735934,4,0,2665.0,0.0
0,51,0,0.136402,0,0,10600.0,2.0
0,60,0,7868.0,0,0,5166.0,0.0
1,59,0,0.453567,1,0,5200.0,0.0
1,45,1,0.423548,2,2,5800.0,0.0
1,59,1,0.22378699999999999,1,1,5893.0,1.0
0,50,0,0.418763,0,0,2941.0,0.0
0,59,0,0.0,0,0,5416.0,0.0
1,42,0,0.145175,0,0,2279.0,3.0
0,42,0,0.65455,0,0,4208.0,0.0
0,78,1,3775.0,1,0,5166.0,0.0
0,49,0,0.147971,0,0,3770.0,0.0
1,50,0,0.7957029999999999,0,0,10890.0,0.0
0,67,0,1525.0,0,0,5166.0,0.0
0,62,0,0.54527,0,0,12833.0,0.0
0,64,0,0.35113,0,0,5000.0,0.0
0,25,0,0.0,0,0,850.0,0.0
0,42,0,0.41622600000000004,0,0,7000.0,1.0
1,56,1,0.8795299999999999,0,1,4166.0,2.0
0,43,0,2.153559,0,0,3750.0,2.0
0,55,0,0.246135,0,0,9766.0,1.0
0,41,0,0.17496,0,0,10750.0,3.0
0,55,0,0.45211,0,0,5000.0,0.0
0,67,2,0.759262,0,0,7800.0,2.0
0,55,0,1.023302,0,0,4505.0,0.0
0,75,1,0.505867,0,0,2300.0,0.0
1,62,1,0.056441,2,1,3135.0,0.0
0,32,0,0.412867,1,1,1600.0,4.0
0,78,0,0.014397,0,0,5000.0,0.0
0,57,0,0.491146,0,0,8583.0,0.0
0,82,0,2.0,0,0,5166.0,0.0
1,57,2,0.509574,1,1,4595.0,1.0
0,47,1,650.0,0,0,5166.0,0.0
1,49,1,0.071451,4,1,3162.0,0.0
0,67,0,2715.0,0,0,5166.0,0.0
0,38,0,0.5542699999999999,0,0,7259.0,1.0
0,55,0,0.7013229999999999,0,0,5443.0,0.0
0,31,0,0.5884010000000001,0,0,8500.0,0.0
0,27,2,0.07080700000000001,0,0,4250.0,1.0
0,82,0,0.0,0,0,5166.0,0.0
0,37,0,0.374126,0,0,4861.0,2.0
0,51,0,0.356153,0,0,7361.0,2.0
1,60,6,0.682264,0,0,5000.0,0.0
1,54,2,1.196498,0,0,7480.0,2.0
0,45,0,1815.0,0,0,5166.0,0.0
0,21,0,0.0,0,0,1.0,0.0
0,49,0,0.13339700000000002,0,1,8335.0,1.0
0,43,0,0.23063499999999998,0,0,13800.0,2.0
1,40,0,2.688124,0,0,900.0,3.0
0,64,0,0.137954,0,0,3000.0,0.0
0,57,0,0.299089,0,0,6034.0,1.0
0,42,0,0.683063,0,0,5000.0,2.0
1,41,6,0.506275,0,0,7250.0,3.0
0,56,0,0.006817,0,0,2786.0,0.0
0,64,0,99.0,0,0,5166.0,0.0
0,50,0,0.29746100000000003,0,0,10750.0,2.0
0,54,0,1343.0,0,0,5166.0,0.0
1,23,0,111.0,2,1,5166.0,0.0
1,58,0,0.41052799999999995,0,0,6800.0,0.0
0,33,0,0.030295999999999997,0,0,8515.0,0.0
0,42,0,5671.0,0,0,5166.0,0.0
0,55,0,0.374363,0,0,10000.0,1.0
1,67,1,1.523252,0,0,3160.0,0.0
0,38,1,0.362213,1,1,3000.0,0.0
1,47,0,0.313666,2,1,3270.0,2.0
0,51,0,0.33449,0,0,6914.0,2.0
1,35,2,0.364641,0,0,3800.0,0.0
1,61,0,1.7323259999999998,0,0,2050.0,0.0
1,62,0,0.15301900000000002,0,0,7900.0,0.0
1,59,0,1.168944,0,0,3000.0,1.0
1,37,0,0.268284,0,0,8900.0,3.0
1,42,1,1.131103,0,0,2600.0,2.0
1,42,0,0.393144,1,0,7350.0,1.0
0,49,0,0.413862,0,0,12450.0,2.0
1,42,0,0.714066,0,0,1300.0,2.0
1,50,3,0.191404,0,0,2000.0,3.0
1,36,2,0.394921,0,1,5000.0,2.0
1,32,2,0.6385930000000001,0,0,3383.0,1.0
0,60,0,0.198522,2,0,10416.0,2.0
0,66,0,185.0,0,0,5166.0,0.0
0,73,0,0.006498,0,0,4000.0,0.0
0,60,0,0.267183,0,0,18200.0,0.0
1,31,0,0.145906,0,0,2857.0,0.0
1,49,1,0.253484,0,0,5380.0,2.0
0,61,0,0.0025,0,0,10000.0,1.0
1,58,0,0.414729,0,0,6666.0,0.0
0,49,2,0.026402999999999996,0,0,3900.0,0.0
0,78,0,0.262785,0,0,4516.0,0.0
0,41,0,0.321686,0,0,9300.0,0.0
1,26,0,0.1204,0,0,2200.0,0.0
1,60,0,0.148305,0,0,5427.0,1.0
1,63,1,0.106072,2,0,5467.0,0.0
1,47,0,0.22120599999999999,2,0,5573.0,2.0
1,42,2,0.5818840000000001,0,0,5000.0,0.0
0,37,0,0.513795,0,0,9314.0,0.0
0,54,0,0.260895,0,0,12000.0,2.0
0,59,0,0.423551,0,1,3243.0,0.0
0,74,0,0.279016,0,0,1300.0,0.0
0,88,1,664.0,0,0,5166.0,0.0
0,31,0,0.309669,0,0,10000.0,0.0
0,53,0,0.572932,1,0,5984.0,1.0
1,35,2,2323.0,3,1,5166.0,0.0
1,54,0,0.375436,0,0,4583.0,1.0
0,48,0,0.44654799999999994,0,0,3750.0,0.0
0,69,0,0.008855,0,0,3500.0,0.0
0,25,0,291.0,0,0,5166.0,0.0
1,55,0,0.151988,1,0,13000.0,1.0
0,50,0,0.251479,0,0,12000.0,1.0
1,50,1,0.16236099999999998,1,0,10334.0,3.0
0,49,0,0.256432,0,0,4741.0,1.0
0,52,0,0.014993000000000001,0,0,2000.0,0.0
0,34,0,0.24824200000000002,0,0,6400.0,0.0
1,47,1,1.813375,0,1,4500.0,3.0
0,46,0,0.292123,0,0,7667.0,2.0
1,34,0,0.9590200000000001,0,0,2000.0,0.0
1,37,0,0.005691,0,0,6500.0,0.0
0,31,0,0.004197,1,0,2620.0,2.0
1,23,0,0.02114,1,1,1560.0,0.0
0,35,1,0.202949,0,0,4000.0,0.0
0,64,0,0.004832,0,0,5587.0,0.0
0,90,0,0.0,0,0,5166.0,0.0
1,46,1,0.768675,2,1,3600.0,3.0
0,84,0,0.114952,0,0,2400.0,0.0
1,50,2,1896.0,0,0,5166.0,0.0
1,43,1,0.696328,0,0,5663.0,0.0
1,42,0,0.0,0,0,5166.0,2.0
0,39,0,911.0,0,0,5166.0,0.0
1,68,1,0.342754,0,0,7500.0,0.0
0,39,0,0.203597,0,0,9228.0,0.0
0,77,0,90.0,0,0,5166.0,0.0
1,74,0,0.68048,0,0,5501.0,0.0
1,42,1,2449.0,4,3,5166.0,0.0
1,71,0,2.022939,0,0,2571.0,0.0
1,31,1,994.0,0,0,5166.0,0.0
1,22,1,0.174377,1,1,280.0,0.0
1,49,0,0.000174,0,0,11482.0,0.0
1,44,0,54.0,2,0,5166.0,0.0
0,50,0,0.41214700000000004,0,0,4000.0,0.0
1,60,0,0.01444,0,0,3600.0,0.0
0,48,0,0.302169,0,0,16000.0,6.0
0,62,0,0.755401,0,0,6340.0,0.0
0,64,0,1962.0,0,1,5166.0,0.0
0,36,0,0.39063000000000003,0,0,20000.0,1.0
1,70,0,0.542768,0,0,4500.0,0.0
1,48,2,0.488993,0,0,11083.0,1.0
0,63,0,0.535137,0,0,3770.0,0.0
0,44,0,0.603306,0,0,3750.0,1.0
0,40,0,0.30683699999999997,0,0,8000.0,2.0
0,40,1,0.365017,0,1,5333.0,0.0
0,69,0,0.099525,0,0,8208.0,1.0
0,66,0,48.0,0,0,5166.0,0.0
0,58,1,0.648035,0,0,10000.0,2.0
0,84,0,0.0,0,0,0.0,0.0
0,72,0,0.0,0,0,2500.0,0.0
0,31,0,0.024993,1,1,3600.0,3.0
0,57,0,0.275041,0,0,11710.0,0.0
0,75,0,0.067854,0,0,2077.0,0.0
0,44,0,0.468529,0,0,2970.0,0.0
1,46,1,0.831764,4,2,2335.0,3.0
0,55,0,1768.0,0,0,5166.0,0.0
0,63,1,0.26820700000000003,0,1,7139.0,1.0
1,50,3,0.14147200000000001,0,2,3300.0,3.0
1,41,0,0.167653,0,0,1520.0,0.0
0,62,0,0.192841,0,0,5698.0,0.0
0,64,0,0.106271,0,0,10491.0,0.0
0,33,0,0.376808,0,0,8916.0,1.0
1,85,0,0.141183,0,0,5800.0,0.0
1,39,1,0.191606,0,0,5646.0,3.0
0,55,0,0.41367299999999996,0,0,11774.0,0.0
1,59,1,0.36004899999999995,0,0,10667.0,0.0
0,64,0,1307.0,0,0,5166.0,0.0
0,39,0,0.131313,0,0,7820.0,3.0
1,39,2,0.1243,1,0,1785.0,8.0
0,48,0,0.033405000000000004,0,0,45800.0,0.0
1,51,0,0.170409,0,0,4230.0,0.0
0,66,0,0.052989,0,0,5000.0,0.0
1,47,0,0.220946,0,0,18275.0,0.0
0,28,1,0.10976099999999998,0,0,2550.0,0.0
0,71,0,0.0020629999999999997,0,0,12600.0,0.0
1,38,1,940.0,0,0,5166.0,0.0
0,49,0,0.287802,0,0,6500.0,2.0
0,79,0,0.45646899999999996,0,0,4915.0,0.0
0,63,0,0.175215,0,0,11288.0,3.0
0,29,0,0.6443949999999999,0,0,8500.0,1.0
0,68,0,0.216757,0,1,5000.0,0.0
0,44,0,0.509322,0,0,12604.0,2.0
0,38,0,0.274227,0,0,3332.0,3.0
0,58,0,0.021662999999999998,0,0,5400.0,0.0
0,88,0,0.022481,0,0,1200.0,0.0
1,41,1,0.8606090000000001,0,0,15000.0,3.0
1,50,0,0.230292,0,0,5644.0,0.0
0,33,1,0.143104,0,0,8678.0,0.0
0,51,0,0.18099300000000001,0,0,12121.0,5.0
1,52,4,1.821306,1,1,3200.0,0.0
0,51,0,0.0036710000000000002,0,0,5720.0,0.0
1,35,1,0.179071,2,1,4500.0,3.0
0,41,3,0.149471,1,1,3779.0,2.0
0,53,1,1076.0,0,0,5166.0,0.0
0,38,0,0.241353,0,0,9280.0,3.0
1,48,1,0.096814,3,0,7250.0,2.0
0,26,0,0.71011,0,0,820.0,0.0
0,35,0,0.281046,0,0,10250.0,2.0
1,52,0,0.7497119999999999,0,0,2600.0,1.0
0,61,0,0.762878,0,0,4600.0,1.0
1,73,0,0.020396,0,0,3333.0,0.0
